"Sr. No.","State","Hon'ble Members of Parliaments","Constituency","Allocated AMOUNT ( ₹ )"
"1","Tamil Nadu","A Chellakumar","KRISHNAGIRI","98063957.11"
"2","Tamil Nadu","A Ganeshamurthi(17th Lok Sabha)","ERODE","98063957.11"
"3","Kerala","Abdul Majeed Ariff","ALAPPUZHA","98063957.11"
"4","West Bengal","Abu Taher Khan(17th Lok Sabha)","MURSHIDABAD","220563957.11"
"5","Odisha","Achyutananda Samanta(17th Lok Sabha)","KANDHAMAL","29851533"
"6","Andhra Pradesh","Adala Reddy","NELLORE(SC)","117663957.11"
"7","West Bengal","Adhir Ranjan Chowdhury (17th Lok Sabha)","BAHARAMPUR","220563957.11"
"8","Kerala","Adv Adoor Prakash (17th Lok Sabha)","ATTINGAL","98063957.11"
"9","Kerala","Adv Dean Kuriakose (17th Lok Sabha)","IDUKKI","98063957.11"
"10","Uttar Pradesh","Afzal Ansari(17th Lok Sabha)","GHAZIPUR","16207021.37"
"11","Uttarakhand","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","98063957.11"
"12","Bihar","Ajay Kumar Mandal","BHAGALPUR","98063957.11"
"13","Bihar","Ajay Nishad","MUZAFFARPUR","49063957.11"
"14","Uttarakhand","Ajay Tamta","ALMORA(SC)","171563957.11"
"15","Tamil Nadu","AKP Chinraj(17th Lok Sabha)","NAMAKKAL","90920938"
"16","Uttar Pradesh","Akshaibar Lal","BAHRAICH(SC)","98063957.11"
"17","Bihar","Alok Kumar Suman","GOPALGANJ (SC)","73563957.11"
"18","Gujarat","Amit Shah (Ex 17 Lok Sabha)","GANDHINAGAR","73500000"
"19","Maharashtra","Amol Ramsing Kolhe(17th Lok Sabha)","SHIRUR","98063957.11"
"20","Karnataka","Anantkumar Hegde","UTTARA KANNADA","52344136.63"
"21","Tamil Nadu","Andimuthu Raja(17th Lok Sabha)","NILGIRIS(SC)","98063957.11"
"22","Karnataka","Annasaheb Shankar Jolle","CHIKKODI","98063957.11"
"23","Jharkhand","Annpurna Devi","KODARMA","86670011"
"24","Kerala","Anto Antony(17th Lok Sabha)","PATHANAMTHITTA","98063957.11"
"25","Odisha","Anubhav Mohanty(17th Lok Sabha)","KENDRAPARA","98067767.11"
"26","Telangana","Anumula Revanth Reddy(17th Lok Sabha)","MALKAJGIRI","24857914"
"27","Uttar Pradesh","Anurag Sharma","JHANSI","98063957.11"
"28","Himachal Pradesh","Anurag Singh Thakur","HAMIRPUR_HP","95493840"
"29","West Bengal","Aparupa Poddar","ARAMBAG(SC)","73563957.11"
"30","Rajasthan","Arjunlal Meena(17th Lok Sabha)","UDAIPUR(ST)","98063957.11"
"31","Chhattisgarh","Arun Sao","BILASPUR","73500000"
"32","Telangana","Arvind Dharmapuri(17th Lok Sabha)","NIZAMABAD",""
"33","Maharashtra","Arvind Ganpat Sawant(17th Lok Sabha)","MUMBAI SOUTH","98063957.11"
"34","Haryana","Arvind Kumar Sharma(17TH Lok Sabha)","ROHTAK","117663957.11"
"35","Telangana","Asaduddin Owaisi(17th Lok Sabha)","HYDERABAD","155140949.11"
"36","Uttar Pradesh","Ashok Kumar Rawat(17TH Lok Sabha)","MISRIKH(SC)","73563957.11"
"37","Bihar","Ashok Kumar Yadav","MADHUBANI","73563957.11"
"38","Maharashtra","Ashok Mahadeorao Nete","GADCHIROLI-CHIMUR(ST)","73563957.11"
"39","Bihar","Ashwini Kumar Choubey","BUXAR","58233867"
"40","West Bengal","Asit Kumar Mal (17th Lok Sabha)","BOLPUR(SC)","71083914"
"41","Uttar Pradesh","Atul Kumar Singh(17th Lok Sabha)","GHOSI","98063957.11"
"42","Karnataka","Bache BN Gowda(17th Lok Sabha)","CHIKBALLAPUR","73563957.11"
"43","Andhra Pradesh","Balashowry Vallabbhaneni","MACHILIPATNAM","98063957.11"
"44","Odisha","Basanta Kumar Panda(17th Lok Sabha)","KALAHANDI","98063957.11"
"45","Andhra Pradesh","Beesetti Venkata Satyavathi","ANAKAPALLE","92036294"
"46","Rajasthan","Bhagirath Chaudhary(17th Lok Sabha)","AJMER","98063957.11"
"47","Karnataka","Bhagwanth Khuba","BIDAR","73563957.11"
"48","Uttar Pradesh","Bhanu Pratap Singh Verma(17th Lok Sabha)","JALAUN(SC)","98438762.11"
"49","Gujarat","Bharatiben Dhirubhai Shyal","BHAVNAGAR","98063957.11"
"50","Gujarat","Bharatsinhji Shankarji Dabhi","PATAN","73563957.11"
"51","Maharashtra","Bharti Pravin Pawar(17th Lok Sabha)","DINDORI(ST)","98063957.11"
"52","Telangana","Bheemrao Baswanthrao Patil","ZAHIRABAD","123156984.11"
"53","Uttar Pradesh","Bhola Singh(17th Lok Sabha)","BULANDSHAHR(SC)","73850844.36"
"54","Jharkhand","Bidyut Baran Mahato","JAMSHEDPUR","73563957.11"
"55","Odisha","Bishweswar Tudu(17th Lok Sabha)","MAYURBHANJ (ST)","73000000"
"56","Uttar Pradesh","BP Saroj Bholanath","MACHHLISHAHR(SC)","49574975.11"
"57","Uttar Pradesh","Brijbhushan Sharan Singh(17th Lok Sabha)","KAISERGANJ","73563957.11"
"58","Haryana","Brijendra Singh","HISAR","98063957.11"
"59","Mizoram","C Lalrosanga(17th Lok Sabha)","MIZORAM (ST)","73563957.11"
"60","Gujarat","C R Patil","NAVSARI","68879825"
"61","Bihar","Chandan Singh","NAWADA","117663957.11"
"62","Bihar","Chandeshwar Prasad","JAHANABAD","98063957.11"
"63","Rajasthan","Chandra Prakash Joshi(17th Lok Sabha)","CHITTORGARH","98229959.11"
"64","Andhra Pradesh","Chandra Sekhar Bellana","VIZIANAGARAM","112429587.11"
"65","Bihar","Chaudhary Mehboob Ali Kaiser","KHAGARIA","49063957.11"
"66","Madhya Pradesh","Chhatar Singh Darbar(17th Lok Sabha)","DHAR(ST)","75559466.11"
"67","Bihar","Chhedi Paswan","SASARAM(SC)","49063957.11"
"68","Bihar","Chirag Paswan","JAMUI(SC)","59479920"
"69","Chhattisgarh","Chunni lal Sahu","MAHASAMUND","49563957.11"
"70","Tamil Nadu","CN Annadurai(17TH Lok Sabha)","TIRUVANNAMALAI","48191981"
"71","Tamil Nadu","D M Kathir Anand (17th Lok Sabha)","VELLORE","69885601"
"72","Tamil Nadu","D Ravikumar","VILUPPURAM(SC)","72417768"
"73","Telangana","Dayakar Pasunoori(17th Lok Sabha)","WARANGEL(SC)","106908056.11"
"74","Chhattisgarh","Deepak Baij","BASTAR(ST)","73563957.11"
"75","Uttar Pradesh","Devendra Alias Bhole Singh(17th Lok Sabha)","AKBARPUR","76530281.23"
"76","Rajasthan","Devji Mansingram Patel(17th Lok Sabha)","JALORE","73563957.11"
"77","Gujarat","Devusinh Jesingbhai Chauhan","KHEDA","98063957.11"
"78","Maharashtra","Dhairyasheel Sambhajirao Mane(17th Lok Sabha)","HATKANANGLE","107321516.78999999"
"79","Madhya Pradesh","Dhal Singh Bisen","BALAGHAT","48992666.9"
"80","Tamil Nadu","Dhanush M Kumar(17th Lok Sabha)","TENKASI(SC)","112718252"
"81","Uttar Pradesh","Dharmendra Kumar Kashyap(17th Lok Sabha)","AONLA","75587171.07"
"82","Bihar","Dileshwar Kamait","SUPAUL","55691994"
"83","Assam","Dilip Saikia","Darrang-Udalguri","73563957.11"
"84","Bihar","Dinesh Chandra Yadav","MADHEPURA","114593091"
"85","Uttar Pradesh","Dinesh Lal Yadav (17th Lok Sabha)","AZAMGARH","51574427.28"
"86","Gujarat","Dipsinh Shankarsinh Rathod","SABARKANTHA","73563957.11"
"87","Tamil Nadu","Dnv Senthilkumar S(17th Lok Sabha)","DHARAMAPURI","96844975"
"88","Karnataka","Doddaalahalli Kempegowda Suresh","BANGALORE RURAL","98063957.11"
"89","Uttar Pradesh","Dr Chandra Sen Jadon (17th Lok Sabha)","FIROZABAD","49063957.11"
"90","Delhi","Dr Harsh Vardhan (17th Lok Sabha)","CHANDINI CHOWK","142163957.11"
"91","West Bengal","Dr Jayanta Kumar Roy (17th Lok Sabha)","JALPAIGURI(SC)","117663957.11"
"92","Gujarat","Dr K C Patel (17th Lok Sabha)","VALSAD(ST)","98063957.11"
"93","West Bengal","Dr Kakoli Ghosh Dastidar","BARASAT","73563957.11"
"94","Gujarat","Dr Mahendrabhai Munjapara (17th Lok Sabha)","SURENDRANAGAR","98063957.11"
"95","Bihar","Dr Mohammad Jawed (17th Lok Sabha)","KISHANGANJ","96394728"
"96","Andhra Pradesh","Dr Sanjeev Kumar Singari (17th Lok Sabha)","KURNOOL","114656032"
"97","Kerala","Dr Shashi Tharoor (17th Lok Sabha)","THIRUVANANTHAPURAM","98063957.11"
"98","West Bengal","Dr Sukanta Majumdar (17th Lok Sabha)","BALURGHAT","73563957.11"
"99","Karnataka","Dr Umesh G Jadhav (17th Lok Sabha)","GULBARGA(SC)","142163957.11"
"100","Uttar Pradesh","Dr. Vijay Kumar Singh  (Retd) General","GHAZIABAD","73563957.46"
"101","Madhya Pradesh","Durga Das Uikey","BETUL(ST)","63300030"
"102","Rajasthan","Dushyant Singh(17th Lok Sabha)","JHALAWAR-BARAN","133983166.11"
