"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Karnataka","Construction of rooms and halls in school and colleges","WS/MP092/2026-2027/275433","UDUPI(DEPUTY COMMISSIONER UDUPI_IDA)","Smt. Nirmala Sitharaman (2022-28) (2022-2028)","Elected MP","05-Sep-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","1500000"
"2","Karnataka","Construction of rooms and halls in school and colleges","WS/MP092/2026-2027/275432","UDUPI(DEPUTY COMMISSIONER UDUPI_IDA)","Smt. Nirmala Sitharaman (2022-28) (2022-2028)","Elected MP","05-Sep-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","750000"
"3","Chhattisgarh","Lighting of public spaces","WS/MP176/2026-2027/278428","RAIPUR(DISTRICT COLLECTOR RAIPUR_IDA)","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","03-Sep-2026","GRAM PANCHAYAT SAGUNI","Payment In-Progress","250000"
"4","Uttar Pradesh","Purchase of ambulances (Four, three and two wheelers)","WS/MP887/2025-2026/207251","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Dinesh Sharma (2023-26) (2023-2026)","Elected MP","20-Aug-2026","FORCE MOTORS LIMITED","Payment In-Progress","4282950"
"5","Tamil Nadu","Construction of public toilets and bathrooms","WS/MP18439/2026-2027/247388","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Dr. M. Dhanapal (2025-31) (2025-2031)","Elected MP","04-Sep-2026","P VELLAIYAN CONTRACTOR","Payment In-Progress","8000"
"6","Chhattisgarh","Lighting of public spaces","WS/MP176/2026-2027/278424","RAIPUR(DISTRICT COLLECTOR RAIPUR_IDA)","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","03-Sep-2026","GRAM PANCHAYAT NINWA","Payment In-Progress","250000"
"7","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/138290","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","01-Apr-2026","BALAJI SUPPLIER","Payment In-Progress","489765"
"8","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/138282","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","01-Apr-2026","BALAJI SUPPLIER","Payment In-Progress","489765"
"9","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/138283","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","01-Apr-2026","BALAJI SUPPLIER","Payment In-Progress","489765"
"10","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/138284","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","01-Apr-2026","BALAJI SUPPLIER","Payment In-Progress","489765"
